Year,Race,Track,Driver,Team,LapNumber,Compound,TyreLife,TrackStatus,PracticeLapTimeDelta,QualifyingPosition
2021,Styrian Grand Prix,Red Bull Ring,MSC,Haas F1 Team,9.0,SOFT,2.0,1,1.0225,18
2021,Styrian Grand Prix,Red Bull Ring,MAZ,Haas F1 Team,11.0,SOFT,4.0,1,1.0305,19
2021,Austrian Grand Prix,Red Bull Ring,VER,Red Bull Racing,13.0,SOFT,2.0,1,1.0034,1
2021,Austrian Grand Prix,Red Bull Ring,NOR,McLaren,17.0,SOFT,5.0,1,1.0146,2
2021,Austrian Grand Prix,Red Bull Ring,PER,Red Bull Racing,11.0,SOFT,2.0,1,1.0154,3
2021,Austrian Grand Prix,Red Bull Ring,HAM,Mercedes,14.0,SOFT,2.0,1,1.0,4
2021,Austrian Grand Prix,Red Bull Ring,BOT,Mercedes,12.0,SOFT,2.0,1,1.0029,5
2021,Austrian Grand Prix,Red Bull Ring,GAS,AlphaTauri,14.0,SOFT,5.0,1,1.0133,6
2021,Austrian Grand Prix,Red Bull Ring,TSU,AlphaTauri,11.0,SOFT,2.0,1,1.0129,7
2021,Austrian Grand Prix,Red Bull Ring,SAI,Ferrari,18.0,SOFT,3.0,1,1.017,8
2021,Austrian Grand Prix,Red Bull Ring,VET,Aston Martin,10.0,SOFT,2.0,1,1.0115,9
2021,Austrian Grand Prix,Red Bull Ring,RUS,Williams,9.0,SOFT,2.0,1,1.0201,10
2021,Austrian Grand Prix,Red Bull Ring,LEC,Ferrari,16.0,SOFT,5.0,1,1.0184,11
2021,Austrian Grand Prix,Red Bull Ring,STR,Aston Martin,14.0,SOFT,5.0,1,1.0095,12
2021,Austrian Grand Prix,Red Bull Ring,RIC,McLaren,15.0,SOFT,3.0,1,1.0182,13
2021,Austrian Grand Prix,Red Bull Ring,ALO,Alpine,18.0,SOFT,4.0,1,1.0135,14
2021,Austrian Grand Prix,Red Bull Ring,RAI,Alfa Romeo,7.0,MEDIUM,2.0,1,1.0171,15
2021,Austrian Grand Prix,Red Bull Ring,OCO,Alpine,9.0,SOFT,2.0,1,1.0156,16
2021,Austrian Grand Prix,Red Bull Ring,GIO,Alfa Romeo,16.0,SOFT,2.0,1,1.0153,17
2021,Austrian Grand Prix,Red Bull Ring,LAT,Williams,12.0,SOFT,2.0,1,1.0231,18
2021,Austrian Grand Prix,Red Bull Ring,MSC,Haas F1 Team,13.0,SOFT,5.0,1,1.0215,19
2021,Austrian Grand Prix,Red Bull Ring,MAZ,Haas F1 Team,14.0,SOFT,5.0,1,1.0256,20
2021,British Grand Prix,Silverstone Circuit,HAM,Mercedes,23.0,SOFT,16.0,1,1.0137,1
2021,British Grand Prix,Silverstone Circuit,VER,Red Bull Racing,13.0,MEDIUM,18.0,1,1.0,2
2021,British Grand Prix,Silverstone Circuit,BOT,Mercedes,21.0,HARD,9.0,1,1.0142,3
2021,British Grand Prix,Silverstone Circuit,LEC,Ferrari,19.0,MEDIUM,10.0,1,1.0042,4
